accountId,amount,status
30935e91-d250-4cd5-824d-4152a6d0bff5,200,Success
329fff0c-5cc5-4f67-b216-3746e974e9e2,100,Success
3383ec74-e85b-4424-8958-36a95b490012,100,Success
33895535-3c84-4beb-a416-66ce60bb1,100,"Failed - 400 - {""className"":""com.fasterxml.jackson.databind.exc.InvalidFormatException"",""code"":null,""message"":""Cannot deserialize value of type `java.util.UUID` from String \""33895535-3c84-4beb-a416-66ce60bb1\"": UUID has to be represented by standard 36-char representation\n at [Source: (org.glassfish.jersey.message.internal.ReaderInterceptorExecutor$UnCloseableInputStream); line: 1, column: 16] (through reference chain: java.util.ArrayList[0]->org.killbill.billing.jaxrs.json.InvoiceItemJson[\""accountId\""])"",""causeClassName"":null,""causeMessage"":null,""stackTrace"":[]}"
329fff0c-5cc5-4f67-b216-3746e974e9e2,100,Success
